atp_event,rival,sport,atp_duration,rival_duration,overlap_minutes,atp_source,rival_source
Rome,Vallecano vs Villarreal,La Liga,150,105,30.0,rome_2026_official_op,v4_laliga_2526
Rome,Vallecano vs Villarreal,La Liga,150,120,30.0,rome_2026_official_op,v4_laliga_2526
Rome,Vallecano vs Villarreal,La Liga,210,105,90.0,rome_2026_official_op,v4_laliga_2526
Rome,Vallecano vs Villarreal,La Liga,210,120,90.0,rome_2026_official_op,v4_laliga_2526
Rome,Barcelona vs Betis,La Liga,90,105,0.0,rome_2026_official_op,v4_laliga_2526
Rome,Barcelona vs Betis,La Liga,90,120,0.0,rome_2026_official_op,v4_laliga_2526
Rome,Barcelona vs Betis,La Liga,150,105,0.0,rome_2026_official_op,v4_laliga_2526
Rome,Barcelona vs Betis,La Liga,150,120,0.0,rome_2026_official_op,v4_laliga_2526
Rome,Barcelona vs Betis,La Liga,210,105,0.0,rome_2026_official_op,v4_laliga_2526
Rome,Barcelona vs Betis,La Liga,210,120,0.0,rome_2026_official_op,v4_laliga_2526
Winston-Salem,Levante vs Betis,La Liga,90,105,0.0,winston_oop_pdf,v4_laliga_2627
Winston-Salem,Levante vs Betis,La Liga,90,120,0.0,winston_oop_pdf,v4_laliga_2627
Winston-Salem,Levante vs Betis,La Liga,150,105,0.0,winston_oop_pdf,v4_laliga_2627
Winston-Salem,Levante vs Betis,La Liga,150,120,0.0,winston_oop_pdf,v4_laliga_2627
Winston-Salem,Levante vs Betis,La Liga,210,105,0.0,winston_oop_pdf,v4_laliga_2627
Winston-Salem,Levante vs Betis,La Liga,210,120,0.0,winston_oop_pdf,v4_laliga_2627
Winston-Salem,Sociedad vs Espanol,La Liga,90,105,0.0,winston_oop_pdf,v4_laliga_2627
Winston-Salem,Sociedad vs Espanol,La Liga,90,120,0.0,winston_oop_pdf,v4_laliga_2627
Winston-Salem,Sociedad vs Espanol,La Liga,150,105,0.0,winston_oop_pdf,v4_laliga_2627
Winston-Salem,Sociedad vs Espanol,La Liga,150,120,0.0,winston_oop_pdf,v4_laliga_2627
Winston-Salem,Sociedad vs Espanol,La Liga,210,105,0.0,winston_oop_pdf,v4_laliga_2627
Winston-Salem,Sociedad vs Espanol,La Liga,210,120,0.0,winston_oop_pdf,v4_laliga_2627
Winston-Salem,Sevilla vs Ath Madrid,La Liga,90,105,75.0,winston_oop_pdf,v4_laliga_2627
Winston-Salem,Sevilla vs Ath Madrid,La Liga,90,120,90.0,winston_oop_pdf,v4_laliga_2627
Winston-Salem,Sevilla vs Ath Madrid,La Liga,150,105,75.0,winston_oop_pdf,v4_laliga_2627
Winston-Salem,Sevilla vs Ath Madrid,La Liga,150,120,90.0,winston_oop_pdf,v4_laliga_2627
Winston-Salem,Sevilla vs Ath Madrid,La Liga,210,105,75.0,winston_oop_pdf,v4_laliga_2627
Winston-Salem,Sevilla vs Ath Madrid,La Liga,210,120,90.0,winston_oop_pdf,v4_laliga_2627
