price,tax,other_variable_cost,cac,net_sales,gateway_cost,pre_marketing_contribution,after_acquisition,contribution_pct_receipts,scope
116,0.0,30,175,116.0,2.7375999999999996,83.2624,-91.7376,0.7177793103448276,"Assumption scenario, not observed FanCode margin"
116,0.0,30,200,116.0,2.7375999999999996,83.2624,-116.7376,0.7177793103448276,"Assumption scenario, not observed FanCode margin"
116,0.0,60,0,116.0,2.7375999999999996,53.2624,53.2624,0.4591586206896552,"Assumption scenario, not observed FanCode margin"
116,0.0,60,150,116.0,2.7375999999999996,53.2624,-96.7376,0.4591586206896552,"Assumption scenario, not observed FanCode margin"
116,0.0,60,175,116.0,2.7375999999999996,53.2624,-121.7376,0.4591586206896552,"Assumption scenario, not observed FanCode margin"
116,0.0,60,200,116.0,2.7375999999999996,53.2624,-146.7376,0.4591586206896552,"Assumption scenario, not observed FanCode margin"
116,0.18,10,0,98.30508474576271,2.7375999999999996,85.56748474576271,85.56748474576271,0.73765073056692,"Assumption scenario, not observed FanCode margin"
116,0.18,10,150,98.30508474576271,2.7375999999999996,85.56748474576271,-64.43251525423729,0.73765073056692,"Assumption scenario, not observed FanCode margin"
116,0.18,10,175,98.30508474576271,2.7375999999999996,85.56748474576271,-89.43251525423729,0.73765073056692,"Assumption scenario, not observed FanCode margin"
116,0.18,10,200,98.30508474576271,2.7375999999999996,85.56748474576271,-114.43251525423729,0.73765073056692,"Assumption scenario, not observed FanCode margin"
116,0.18,30,0,98.30508474576271,2.7375999999999996,65.56748474576271,65.56748474576271,0.5652369374634717,"Assumption scenario, not observed FanCode margin"
116,0.18,30,150,98.30508474576271,2.7375999999999996,65.56748474576271,-84.43251525423729,0.5652369374634717,"Assumption scenario, not observed FanCode margin"
116,0.18,30,175,98.30508474576271,2.7375999999999996,65.56748474576271,-109.43251525423729,0.5652369374634717,"Assumption scenario, not observed FanCode margin"
116,0.18,30,200,98.30508474576271,2.7375999999999996,65.56748474576271,-134.43251525423727,0.5652369374634717,"Assumption scenario, not observed FanCode margin"
116,0.18,60,0,98.30508474576271,2.7375999999999996,35.56748474576271,35.56748474576271,0.30661624780829927,"Assumption scenario, not observed FanCode margin"
116,0.18,60,150,98.30508474576271,2.7375999999999996,35.56748474576271,-114.43251525423729,0.30661624780829927,"Assumption scenario, not observed FanCode margin"
116,0.18,60,175,98.30508474576271,2.7375999999999996,35.56748474576271,-139.43251525423727,0.30661624780829927,"Assumption scenario, not observed FanCode margin"
116,0.18,60,200,98.30508474576271,2.7375999999999996,35.56748474576271,-164.43251525423727,0.30661624780829927,"Assumption scenario, not observed FanCode margin"
199,0.0,10,0,199.0,4.6964,184.3036,184.3036,0.9261487437185929,"Assumption scenario, not observed FanCode margin"
199,0.0,10,150,199.0,4.6964,184.3036,34.30359999999999,0.9261487437185929,"Assumption scenario, not observed FanCode margin"
199,0.0,10,175,199.0,4.6964,184.3036,9.303599999999989,0.9261487437185929,"Assumption scenario, not observed FanCode margin"
199,0.0,10,200,199.0,4.6964,184.3036,-15.696400000000011,0.9261487437185929,"Assumption scenario, not observed FanCode margin"
199,0.0,30,0,199.0,4.6964,164.3036,164.3036,0.8256462311557788,"Assumption scenario, not observed FanCode margin"
199,0.0,30,150,199.0,4.6964,164.3036,14.303599999999989,0.8256462311557788,"Assumption scenario, not observed FanCode margin"
199,0.0,30,175,199.0,4.6964,164.3036,-10.696400000000011,0.8256462311557788,"Assumption scenario, not observed FanCode margin"
199,0.0,30,200,199.0,4.6964,164.3036,-35.69640000000001,0.8256462311557788,"Assumption scenario, not observed FanCode margin"
199,0.0,60,0,199.0,4.6964,134.3036,134.3036,0.6748924623115578,"Assumption scenario, not observed FanCode margin"
199,0.0,60,150,199.0,4.6964,134.3036,-15.696400000000011,0.6748924623115578,"Assumption scenario, not observed FanCode margin"
199,0.0,60,175,199.0,4.6964,134.3036,-40.69640000000001,0.6748924623115578,"Assumption scenario, not observed FanCode margin"
199,0.0,60,200,199.0,4.6964,134.3036,-65.69640000000001,0.6748924623115578,"Assumption scenario, not observed FanCode margin"
199,0.18,10,0,168.6440677966102,4.6964,153.94766779661018,153.94766779661018,0.773606370837237,"Assumption scenario, not observed FanCode margin"
